freq      u_in     u_out    u_out_err    delta_t     delta_t_err
10.0      5.1      5.0      0.2          0.0         1000.0
20.0      5.1      5.0      0.2          0.0         750.0
40.0      5.1      5.0      0.2          0.0         500.0
100.0     5.1      5.0      0.2          0.0         250.0
200.0     5.1      5.0      0.2          80.0        40.0
500.0     5.1      4.9      0.2          90.0        20.0
1000.0    5.1      4.2      0.2          90.0        20.0
1200.0    5.0      4.0      0.2          75.0        10.0
1500.0    5.0      3.6      0.2          80.0        40.0
2000.0    5.0      3.1      0.2          80.0        40.0
3000.0    5.0      2.5      0.2          60.0        20.0
4000.0    5.0      2.0      0.2          50.0        20.0
8000.0    5.0      1.1      0.2          30.0        10.0
20000.0   5.0      0.41     0.02         12.0        4.0
40000.0   4.9      0.21     0.01         6.0         2.0
100000.0  4.9      0.084    0.004        2.5         1.0
150000.0  4.85     0.055    0.002        1.6         0.4
200000.0  4.85     0.042    0.002        1.2         0.2
