f       trans           trans_err       phi             phi_err  
10	1	        0.2507509	-0.0251327412	0.0025158251
200	0.9846153846	0.2439243	-0.1256637061	0.0026396918
500	0.9538461538	0.2305580	-0.2827433388	0.0031717519
1000	0.875	        0.1994539	-0.5277875658	0.0025698228
1200	0.8125	        0.1753246	-0.7238229474	0.0030928351
1400	0.7692307692	0.1583747	-0.756495511	0.0018402193
1600	0.75	        0.1527732	-0.8042477193	0.0020970759
1800	0.6875	        0.1317952       -0.85953975	0.0023546865
2000	0.640625	0.1170909	-0.9047786842	0.0026112918
2500	0.5714285714	0.0978037	-0.9738937226	0.0032484068
5000	0.3333333333	0.0315875	-1.2252211349	0.0032829643
7500	0.2380952381	0.0183096	-1.3665928043	0.0048773226
10000	0.1825396825	0.0122172	-1.5079644737	0.0064716809
20000	0.0857142857	0.0019606	-1.4576989913	0.0052477164
50000	0.0349206349	0.0003512	-1.5079644737	0.0066224773
100000	0.0174603175	0.0000905	-1.4451326207	0.0068046897
200000	0.0090322581	0.0000241	-1.5079644737	0.0059313269
