0.0060	0.00018	0.36	0.011
0.01	0.0003	0.8	0.024
0.0116	0.0035	0.840	0.025
0.0140	0.00042	1.04	0.031
0.02	0.0006	1.52	0.046
0.0216	0.00065	1.64	0.049
0.032	0.001	2.48	0.074
0.042	0.0013	3.28	0.1
0.054	0.0016	4.00	0.12
0.062	0.0019	4.8	0.14
0.072	0.0022	5.44	0.16
0.082	0.0025	6.08	0.18
0.092	0.0028	6.64	0.2
0.1	0.003	6.69	0.21
0.11	0.0033	7.12	0.21
0.118	0.0035	7.28	0.22
0.128	0.0038	7.440	0.22
0.138	0.0041	7.6	0.23
0.146	0.0044	7.68	0.23
0.16	0.0048	7.8	0.23
0.17	0.0051	8.0	0.24
0.18	0.0054	8.0	0.24
0.192	0.0058	8.0	0.24
0.2	0.006	8.0	0.24
